"","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"hsa_piR_009502|gb|DQ582827|Homo_sapiens:19:1334622:1334647:Plus",5.09539672968702,5.60445035028661,6.11214033000776,5.71698350184357,5.42064465039523,5.43487564622684,4.95899012534214,5.40251603377534,5.46818897298726,5.86985572915593,5.65369476400455,5.70871217615335,6.04933774308665,5.89771532915306,5.6130510156457,5.38564239175712,5.22417874156943,5.28106898316215,5.02613353957895,4.85021686078977,5.10500286880441,4.93777619067093,5.54353524187326,4.91856028664413,5.34330156579793,5.74288499567454,5.23926044791487,4.4631696089154,4.97891051659109,4.97029136133102,5.69760182463427,5.26305984341475,5.84012819624176,4.89766461078031,4.77701886567613,5.64976367835815,4.37783236445395,4.17151424017053,5.02016502594195,5.08172076653951,5.1374692089607,4.02966224782621,4.74724363698253,4.73268761484858,5.50332199587405,4.55462228747359,5.14658611882018,4.82272403625881,4.99278192982546,5.05549529697529,4.84961181927159,5.71593827538589,5.96865470105537,5.63607633268188
"hsa_piR_001168|gb|DQ571524|Homo_sapiens:2:117497628:117497655:Plus",5.09539672968702,5.17478489291346,4.95298763829158,4.99938592133632,5.3501768449844,4.8557901511756,5.36115704456965,4.76050227697264,5.19102014789882,4.23226859924038,4.47751887648045,4.98498682101454,4.76368712077793,4.69178163481498,5.17398921567019,4.85884194733204,4.00371010120211,4.46117500890128,4.4673354226433,4.95492265861211,4.49257123456605,5.78586225585816,6.44896718151077,5.63900158026317,5.17353170987107,4.92076946041669,4.33954236971628,4.80073874276167,5.22826505944925,4.58968224855775,5.59540932442184,5.51996983840732,5.68082488950681,4.97682920708617,5.47763231048229,4.93545611167254,6.62530099373426,6.47203720613308,5.58632913667167,5.60670932762136,5.98341638061571,6.42617666097955,5.71261178114286,5.94905442584435,5.73032413278055,5.70129651886367,6.03347102317548,6.26027066434091,6.37830576923327,5.64007404732333,5.97674756790822,5.71593827538589,5.05411274693826,4.87606310401843
"hsa_piR_017061|gb|DQ593574|Homo_sapiens:17:2180331:2180362:Minus",5.04103463156699,5.17478489291346,5.115104590773,5.14765607989357,4.60064267924658,5.38669619234901,5.02412537073096,5.61657691540517,5.10475336664813,4.58903002490021,4.670774626615,5.26997640663113,5.95596569110341,5.55619783630801,5.32074957004423,5.28840430381578,4.62360389147841,5.07504617718876,4.72616120846578,5.02849554321268,4.69248524221291,6.12424922398439,6.04784520791814,5.77321829310212,6.14137665399987,5.99050390984033,5.53490558548419,5.99214147941389,5.72287104764415,5.5940847205834,7.05503054760024,6.39836977305335,6.49342070571613,6.08515626492387,5.73816067237597,5.95106306894991,6.41282664286305,6.67490770841402,7.50647612508053,8.40637641838226,8.37388026212131,7.73406260724554,8.03599457249406,7.28879250328418,8.09082752731347,7.73287538504769,6.9787854426644,7.27423782792077,7.47685226607768,8.1982191442854,8.09828975819808,8.84898389158371,8.34085818068847,8.46357768271469
"hsa_piR_001207|gb|DQ571591|Homo_sapiens:16:88155360:88155385:Plus",4.98443304537135,5.32156784819113,5.39152041401524,5.94700187044405,5.11449454842641,5.8782166653809,5.59072537630135,5.85929266421474,5.8292147544895,5.89433533922354,5.89622951429305,6.25980380343006,6.55207004708046,6.43847472402337,6.33597127973026,6.28251144495719,5.91940881377925,6.15590460799839,6.34171543118436,6.22327986325821,5.60572543822245,5.07133594453931,5.1666356903927,5.20219994213933,5.703800692505,6.88870404731337,6.61672495952535,7.83376120547021,8.11775023798606,7.99832404995709,6.73592643509809,6.68898931246553,7.09476432677457,8.40022489845378,8.18619823718482,9.11772689438308,6.87400176022673,6.85262309410447,7.60071707943912,7.32215297158985,7.51340117027006,7.01242861015329,8.09018143559763,7.6987234095875,8.98617278622166,7.22561626365707,7.49884934526582,6.63240286507776,7.12228731657843,7.85331828627555,7.34349064651573,8.41084785532501,8.87466644854858,8.87701656167144
"hsa_piR_011968|gb|DQ586183|Homo_sapiens:5:126543422:126543451:Minus",4.98443304537135,5.38954360842698,5.77344923051601,3.66671194520186,4.15688070117086,3.8053897602023,3.80490594933579,4.58564406705393,4.73186508157882,6.45006102266908,6.42768902567377,6.27797151517093,5.7108100539498,6.25389802073204,5.6130510156457,7.37156754342201,7.41654913574006,7.55142991698958,6.98062011778593,6.78298205458304,6.48915966198215,5.50503421294205,5.64960167326725,5.77321829310212,5.49465568857209,6.29616609429846,6.1970590482082,4.39737447586476,5.08412090252172,4.20836852218614,4.5344979805131,3.85577286754317,4.38358232459514,4.46918336071355,4.06537935404243,4.3606468687932,4.04729024337753,4.32254129815511,4.61601505059711,4.49198484326306,3.74863644070827,3.95186435899312,4.01496739623507,4.25020059308562,4.61341261102163,3.70359841103796,4.73007958523128,3.88829119976241,3.1843320913173,3.75687459245667,4.05766501533452,4.02593876732697,3.37317015003562,5.79441240688357
"hsa_piR_003728|gb|DQ575064|Homo_sapiens:14:20935370:20935400:Minus",4.92538937585983,5.13552918246107,5.51160099888068,4.64341667509143,4.77628070314096,4.7034638297528,4.38516374073125,3.29347424275739,4.47423911904729,5.1432994361518,5.08095142405954,5.50639258123746,5.41406508315987,5.58802778163024,5.79002035814555,5.14719790926123,5.14923407359443,5.07504617718876,4.69214369685147,4.67616931170762,5.07733636143681,5.65241482168168,5.09255697952817,5.43754333260453,5.41017835293866,5.26431954586969,5.5786468887149,5.36329721094664,5.3166649252346,5.26752421224316,5.54139700496764,4.88164019171358,5.70865094696716,5.08760310600693,5.12949552183052,5.47103251487036,4.63989682558189,4.42500906193279,5.53897379039425,6.71545907506563,6.42591796443843,5.93767205483106,5.74705625995407,5.16180548333975,5.92590331826961,5.92784854963602,5.80321579862832,5.79307315534696,5.46381214342446,5.40406046999622,5.57864494804337,6.73216796844729,5.90609249182738,6.58037508714232
"hsa_piR_005019|gb|DQ576918|Homo_sapiens:2:27127216:27127243:Plus",4.86367079617188,4.48418838778549,4.4344984794026,4.77279913939705,4.15688070117086,4.62026210705024,4.38516374073125,4.26976118409698,4.52083681018941,4.23226859924038,4.40616856236344,4.21018149982238,4.76368712077793,4.69178163481498,4.02080577795466,4.29630404816706,4.58523256856943,4.67653302860943,4.08912729074638,3.99940575380429,4.203031102104,3.8282303127304,3.52237544997606,4.45234613151691,3.65535919473307,4.52681908601042,4.66945304172861,4.52578110736914,4.27624812177061,4.41315076123626,5.09058749985904,4.24238815364517,4.05230026488169,4.07680313048681,4.06537935404243,4.3606468687932,4.41867005222601,4.35762032737215,5.21539246957107,5.23261833316319,5.00196144895453,4.66418512114687,4.81546591995871,4.97814522740003,5.12904650767559,5.53562184222112,5.64469154020401,5.46227775007118,5.74734479347642,5.67229954123758,5.57864494804337,5.27143657925958,5.36789818753063,5.93683099044331
"hsa_piR_011300|gb|DQ585261|Homo_sapiens:3:102778418:102778444:Minus",4.86367079617188,4.34804141338247,4.66660766452862,5.47959810566674,5.80864086996135,5.23131233156104,4.43555701777654,4.48868988415462,4.60932883862858,4.31204426909446,4.72939135882033,4.89139151991957,5.03698767607417,5.14802465340168,5.22465017971585,4.22382287327355,4.50495584375945,3.99419247651129,3.69818001015757,4.05122906593401,3.823099906727,5.81110698055593,5.59756514561393,5.63900158026317,4.88789741016218,3.72813931504513,3.81023712584762,3.21445605810809,4.27624812177061,4.28039350454771,4.84097263839929,4.29635159918724,4.70436528504799,3.48237087481338,3.77720153551135,3.23034007889918,3.29744509928357,3.39612342638659,2.35962910757546,4.21721147422411,3.98070490641664,3.57161164688809,3.06602551815994,3.62092107552435,3.35625516334432,2.35962910757546,3.22851708173251,2.89035923541579,2.94669578799365,3.12694560890142,2.35962910757546,3.13748655370631,2.35962910757546,2.35962910757546
"hsa_piR_020466|gb|DQ598130|Homo_sapiens:3:132680740:132680767:Minus",4.86367079617188,5.48569522593597,5.56800119602256,4.77279913939705,4.77628070314096,4.8557901511756,4.81856928295743,4.32812202725454,4.80772910878811,6.39985661341401,6.96290035097675,5.681524416017,5.95596569110341,6.19353784303144,5.82290758168117,5.85967891310645,5.87416703832593,6.07335474297527,6.07465169832106,6.26359138646418,6.29073718995021,6.44647301127255,6.68989114455785,7.06137471924596,6.66795538991638,6.38507086226204,6.29141177875831,6.26132990181457,6.23014194685363,6.08222387251553,7.4233285752,6.27841786558585,6.71393400130489,6.41158181769013,6.35270653986575,5.9050812256757,5.09603410650348,4.93559259311998,5.87966850905712,5.90205423416878,5.88582229756132,5.2174769312616,5.64110026115535,5.30188715341042,6.15079075996234,5.16392360219559,4.97692684504546,5.2073859595552,5.21443581615323,5.29729028314467,4.70483333669572,5.91332561293482,5.36789818753063,5.63607633268188
"hsa_piR_018165|gb|DQ595023|Homo_sapiens:14:102873935:102873963:Plus",4.86367079617188,5.38954360842698,5.32738688414743,4.2498663935324,4.46907263493534,4.2213403362523,4.61957788564535,4.26976118409698,4.3756823880541,5.22374882925834,4.72939135882033,4.79086806445623,4.83734147506511,5.23167635481129,4.88832661243988,5.3539756729385,5.31820463280905,5.05013788694606,5.61076996730318,6.17123679008349,5.9890565198512,6.18325237823939,6.66503473815612,6.00867590167639,6.31256984499368,5.68771719274737,5.72187293849211,7.91921204750498,8.04332170552084,7.60853206924963,8.53877409178491,7.95481627796673,8.42852316408404,8.31393199602038,8.45803899446244,8.26173176827758,6.0073110052233,5.74289610923495,6.41074753928867,7.05718966609153,7.01378469100267,6.33267096201535,7.04245958168748,6.32886938861796,7.02046162622541,5.94675905318188,5.72617128536566,5.46227775007118,6.09744378982596,6.73651154747268,6.36731960880723,7.04816849902096,5.96865470105537,6.44455913620696
"hsa_piR_004531|gb|DQ576233|Homo_sapiens:6:31698835:31698864:Plus",4.79900763660616,5.17478489291346,5.03643638176632,5.28155798922103,4.83005615918482,4.99269989230061,5.54771283165128,5.57174192635394,5.61973512995363,5.05787941397824,5.71129263885841,4.93899177723775,5.09755298587358,5.01221180278089,4.43973329804497,4.5508623524307,4.41940251687299,4.77236306287362,4.97119801649731,4.76601008495344,4.79942284301139,4.49946423018132,4.28290189806853,4.83740933752093,4.48314256782784,4.31360966190656,4.33954236971628,4.80073874276167,4.86492848182244,4.64360878334576,5.09058749985904,5.23718070777146,5.53282514835872,4.85628577338568,5.12949552183052,5.64976367835815,3.49872445538387,3.999188409055,4.29695807963071,3.86281906413692,4.17403139938602,4.02966224782621,4.01496739623507,3.62092107552435,4.76189416943552,3.80334606930247,3.41618189657375,3.40412323414784,3.63908288099939,3.70950835630693,3.87453967696694,3.86502537317715,3.37317015003562,4.11386252138204
"hsa_piR_008488|gb|DQ581533|Homo_sapiens:12:117916274:117916302:Plus",4.73108478945295,4.92047984466074,5.45284449533613,4.83309257407273,5.23732504720076,4.7034638297528,4.81856928295743,4.84004922741654,4.87955220524774,4.70823616272177,4.89129728273204,5.70871217615335,5.78528058414268,5.27168555860187,5.36642522631464,4.49177242068502,4.66089341698992,4.38067527823483,6.00933667670458,6.09503496880293,5.37765909647029,6.86117935055354,7.14987296716918,6.56971448309464,5.66800713576573,6.31439441057711,5.68241060086823,6.5026546386985,6.49590480529428,6.24196704121562,6.12071301551305,5.33793214949602,6.17432286413504,6.04979470079566,6.27952871542735,6.47527825888393,5.36001026925991,5.46703512651042,6.15423659126543,6.1212744923802,5.75357365228653,5.65675170247781,6.47652768138855,5.76973763266875,6.5557566822893,6.26528803684193,6.19414587734131,5.98262197776328,6.23650411165588,6.14638834682965,5.84862004945232,6.81301213141505,6.71450021192099,6.58037508714232
"hsa_piR_021057|gb|DQ598951|Homo_sapiens:9:134884780:134884806:Plus",4.73108478945295,4.34804141338247,3.53407838682816,4.50001986205861,3.96503315991958,4.33332303311674,4.74248568713755,4.6759435938998,4.87955220524774,4.23226859924038,4.16437244471751,4.36362480220224,4.83734147506511,4.18192616972775,4.24783967641663,4.90394961383678,5.04253730273041,5.46050267793076,4.94288042045271,4.95492265861211,4.9299734825297,4.49946423018132,4.13424165325511,5.13657316543695,4.39403281050005,4.23378529405513,4.16712863927988,3.39931205791444,3.68620229034286,3.3716522504655,3.52135557267264,3.9296940837569,3.2415536490938,3.81954819137463,3.77720153551135,2.35962910757546,3.93350868624764,4.0884389911265,3.44870991697558,3.71533617836992,3.45135389193058,3.95186435899312,3.06602551815994,4.14851341418226,3.74358560823328,4.33069996942392,4.20385936616055,3.96353931864477,3.1843320913173,3.80224838101083,3.65558587363328,3.13748655370631,4.05262964842882,3.41247407199288
"hsa_piR_002732|gb|DQ573682|Homo_sapiens:22:38039830:38039857:Minus",4.65953034615457,4.82399162320497,4.8641046765122,4.8908114964511,4.53651138256244,4.78178164599802,4.81856928295743,4.76050227697264,4.69225989611775,4.45794421235248,4.83945588424933,4.73764966891177,4.83734147506511,5.27168555860187,5.53555074949529,5.10952823722874,5.01451908095171,4.99892459345998,4.75933530464515,4.47584996695541,4.35603059027012,4.62328487836336,4.74823212106892,4.75107609511114,4.56652535530689,5.40869358991298,5.44311903679181,6.48777157823157,6.85691492481353,6.38563869873591,5.79290677074819,5.33793214949602,6.11346072625509,6.18626822483288,6.20240358482123,6.67947099014103,6.01993006812199,6.06644010869829,7.08523175236201,5.67787010281577,5.66786460494591,5.3886657065442,6.92795213673041,6.54792032017215,7.67101345898572,6.21948295646306,6.53106899071797,6.33781177948768,5.85955574396627,6.29098296958417,5.73224097486648,7.49010339816519,7.70088638709249,8.03103958660236
"hsa_piR_016677|gb|DQ592953|Homo_sapiens:2:205927199:205927228:Plus",4.65953034615457,5.01058175398728,5.51160099888068,4.70967396961004,4.60064267924658,4.92596386458601,4.74248568713755,5.2957748065724,5.07475764636483,4.6499714225044,4.83945588424933,4.56393048742198,4.68575778078179,5.42114879747936,5.22465017971585,4.85884194733204,4.62360389147841,4.91832347921576,4.2446520182172,3.82839163013613,4.0283072446635,3.93572719917428,3.52237544997606,3.47237891615072,3.65535919473307,4.38868399161923,4.03708212683887,5.42783457741437,5.03252295260077,5.33284492549467,4.64468979680392,4.34809541728512,4.70436528504799,4.93782117622634,4.66251448689852,4.93545611167254,4.67340287209043,4.32254129815511,5.38651471161971,4.71857555802334,5.1374692089607,4.98674122750182,5.00166027021063,4.69860769001676,5.12904650767559,4.87311068744354,4.42701335022063,4.66579982616503,5.375427066797,5.08813397193064,4.59879750858045,5.15004883247709,5.69994844483825,6.29450609026276
"hsa_piR_001346|gb|DQ571858|Homo_sapiens:17:24073766:24073794:Plus",4.50365739144908,4.48418838778549,3.53407838682816,4.50001986205861,4.66179968126816,4.8557901511756,4.95899012534214,5.14970883667274,4.98063349528594,5.50585799251766,5.20779291848619,5.02948641933338,5.46048379604699,5.14802465340168,5.36642522631464,5.58930316567801,5.01451908095171,5.32298060524756,4.82332365883886,4.95492265861211,4.61611601268604,5.53576932095326,5.30388236207578,5.06767503922242,5.27306214590457,5.87208292376361,5.76026499925962,6.26132990181457,6.41925678966246,5.74470258370638,5.92483797637682,5.43190270612292,5.86502214237724,5.83785317194701,6.30433953429362,6.9954812120351,7.04352388821531,7.10566918524486,8.08110829625015,7.94617342138694,7.81285361667412,7.34823012730219,8.27111915710477,7.75166838040648,8.75040677665451,7.87696943329199,7.87423958491622,7.65247065672983,8.02737045393415,8.57664804875268,7.91451802889643,8.9006581478391,9.19358792455383,9.35727573482795
"hsa_piR_004309|gb|DQ575884|Homo_sapiens:2:47361402:47361433:Minus",4.32652587372004,4.60739648266208,4.15098446967878,4.50001986205861,4.46907263493534,3.8053897602023,4.5759401464341,3.84488828147982,4.15207513640427,4.96680171378516,4.83945588424933,4.50053835482663,4.60298442450717,4.75075031481627,4.34740862498931,4.36483563965486,4.83315507314039,4.49961798844159,3.5286328387315,4.28146769341674,4.61611601268604,4.93777619067093,6.08592487894857,4.55963148815487,5.47400809394529,4.65172586266535,4.62711448203343,5.18755593704142,4.52891560123767,5.19898736228575,5.88220798951871,5.97262621436814,6.50922448044704,4.81360320451518,4.3985852263416,3.82670423728172,3.99178169759394,3.999188409055,4.79244643509743,5.74562042040208,5.83439200993762,5.30569604971387,4.74724363698253,4.73268761484858,4.89557361255578,4.39043833356421,5.49748091245818,5.12083347344625,5.6254737507254,5.5618910975806,5.65752881516167,5.43573532299612,5.45854433708743,4.722927890286
"hsa_piR_020657|gb|DQ598428|Homo_sapiens:17:72068790:72068821:Plus",4.32652587372004,5.01058175398728,4.95298763829158,4.2498663935324,4.53651138256244,4.62026210705024,4.48405387960384,4.00403742787616,4.15207513640427,5.37190390885546,5.43128260640685,5.11438335188194,5.36605606648337,5.42114879747936,5.79002035814555,4.81218089935215,5.19964444941093,5.49743856694474,5.15457521149853,5.16478969360245,5.07733636143681,6.52445779471759,6.3273470984977,6.52000283406529,6.71223292263308,5.1861064336914,5.1249227778992,5.45902206956836,5.47826985048091,4.83983139783625,7.09268951704541,6.20130080600701,6.90504404776101,4.97682920708617,4.66251448689852,5.53316389632852,4.57022725383794,4.57954669779776,5.71954840063021,7.5268883351932,7.23679470944207,6.30479340256725,5.99610269365022,5.99055969797343,6.51601639003423,5.40408456638853,6.09586344820375,5.73666180173497,5.88097137183166,5.97693639386219,6.50071880115778,7.03138373492512,6.08609143702594,6.29450609026276
