"","Row.names","moduleLabels","D00_1","D00_2","D00_3","D05_1","D05_2","D05_3","D09_1","D09_2","D09_3","D16_1","D16_2","D16_3","D26_1","D26_2","D26_3","D36_1","D36_2","D36_3","D00_4","D00_5","D00_6","D05_4","D05_5","D05_6","D09_4","D09_5","D09_6","D16_4","D16_5","D16_6","D26_4","D26_5","D26_6","D36_4","D36_5","D36_6","D00_7","D00_8","D00_9","D05_7","D05_8","D05_9","D09_7","D09_8","D09_9","D16_7","D16_8","D16_9","D26_7","D26_8","D26_9","D36_7","D36_8","D36_9"
"1002","tRNA-Phe-GAA-1","green",7.94961166570928,8.08867971347511,8.28547720517119,6.94569872140479,6.82736691909186,6.7633177555531,6.13710572755226,6.31243341564615,6.77729667928228,7.3252909178407,7.47295721633549,7.03430886194171,6.27257317939218,6.08626042558612,7.37928129119778,7.39258585873678,7.51408400288196,7.44695912765696,6.80066153341111,7.33031675716923,6.89783403689172,6.87357563898938,6.77633856753117,6.28986758930431,6.41405060470062,6.1944213221944,5.8561157986437,7.48123251280093,6.62166670662886,7.13598914815618,7.84267804681375,7.18674681395024,6.7386539872021,7.36808567401544,7.52379153273288,7.79874726181204,6.94690056281837,6.4939035292041,6.72118210028837,5.85967891310645,6.26093130960611,5.83611413706252,7.19628111142919,6.87651572455369,6.49757236387836,5.75220891817862,5.52098286429895,5.47103251487036,6.85145829286282,6.35022665307556,7.20643270310884,8.10919597306578,7.64488264415135,7.96656593220748
"1003","tRNA-Pro-AGG-1","yellow",9.97174576184967,10.3248239597655,10.7667049940692,8.6740475887222,8.45211672899153,8.77955907728874,7.20624957102351,7.35701717391697,7.98990602953685,8.59200348999315,8.46047014681616,8.08477413862954,5.72810570293313,5.95220852140306,6.87481504549136,6.62249350493451,7.31098352527569,6.89386718228186,8.53494818136536,8.06385987556871,8.16684729547277,7.68182091222079,7.7238434300181,7.76563381478388,7.00935557767067,7.01882323123651,6.89608256220199,8.12317295843035,7.5371039945584,7.98022632646432,6.88904372676962,6.54216853767381,7.46582084962518,7.19204497495782,7.35379538327407,6.78250661878212,9.53378554439462,9.32769100431787,9.67796259778514,8.07798937005598,8.42376334597624,8.48753104968949,8.0735874711076,8.73170989227693,8.24560014919172,7.90053159241506,7.28237830045567,7.75703748956296,7.30575596286646,6.98952563070943,7.84107401627365,7.76831696802657,8.17945961137874,8.31615808424512
"1004","tRNA-Pro-AGG-2","yellow",11.966030566889,12.4533996949739,12.7869783829586,10.9284497912736,10.5313712523064,10.3885792810282,9.71508618089126,9.94225741488807,10.7330289523606,10.8304720917521,10.6622291630815,10.2406557781786,8.0565317279572,7.830782544514,8.85805296013066,8.66464494784257,9.75170308074484,9.41905347615285,11.5441015609473,11.0429131459601,11.1714034438477,10.6382670644254,10.6472263899338,10.731642060221,9.94191714884595,9.91765898913583,9.76468906595261,11.1226068765925,10.472190256533,10.9747003178462,9.79416170880728,9.45240476608228,10.3852412304883,10.1114697694468,10.3012497316941,9.70040700792537,11.2487653859167,11.1118169439809,11.4049715075656,10.2843114461147,10.8102864316013,10.9379600413747,10.7224240191398,11.3991272123613,10.9464087965955,10.0711241027528,9.0951569158477,9.55105886814797,9.10977919297015,8.8725902056423,10.1697318031828,9.77877232467201,10.2198002873659,10.6529243489506
"1005","tRNA-Pro-CGG-1","yellow",10.6859834216832,11.1406479457239,11.4987825192159,9.62727551167226,9.23841732811434,9.11002820781578,8.45121730861173,8.67414190257142,9.52481780382553,9.62465664365507,9.49641207650164,9.03850981615556,6.94158829984329,6.71986067804294,7.73144016670985,7.51096406525735,8.54229882323554,8.26355834947314,10.2577397874772,9.72938180046606,9.90611246769252,9.34301623949204,9.34730369064512,9.48409011120859,8.70964624447272,8.70236490815083,8.51666198336012,9.88049842057183,9.22251114539917,9.71624322771383,8.68803386821411,8.36940452424046,9.17251534856818,8.96221902397154,9.11435673498349,8.53713929346432,9.95778650702381,9.7972061780119,10.0842128169768,8.99873581879377,9.47803005938708,9.62458506122703,9.46811599082733,10.1454155242853,9.6913381515051,8.85705513321022,7.86758873986498,8.30633470528422,7.95069262683093,7.69456899133854,8.96425658114921,8.61026465785547,8.96886627621328,9.46034067417959
"1006","tRNA-Pro-CGG-2","yellow",9.06325080297854,9.49845339161301,9.85568423632528,8.00262785985207,7.63608258164872,7.51706290581601,6.92528242703618,7.10951042396296,7.90781355629539,8.00509998131665,7.82372397815072,7.42915055204532,5.5296643380546,5.23561543036669,6.12267160086406,6.01998448888963,7.00060056621562,6.66280533859365,8.57814822108365,8.07466610093228,8.24218164759683,7.76627569839719,7.82636892049927,7.87079217179669,7.08323853277325,7.09516378961789,6.9344911660954,8.17669802304563,7.5983091765664,8.07327478012127,7.07035324206895,6.73585730611373,7.56870227491533,7.34531058963442,7.46427047898909,6.91569578915083,8.33168600291967,8.19082835510266,8.49038194855039,7.46217089204157,7.91138151825836,8.05189571363186,7.83066710463606,8.49755107653553,8.07872970950474,7.25820246100389,6.36454713401264,6.75880719878421,6.37069264404801,6.15763369978911,7.39315774306273,6.97982108247603,7.35019921761051,7.88169408959522
"1007","tRNA-Pro-TGG-1","yellow",7.99222582391637,8.18128150121518,8.64410958070586,6.66357256669886,6.86561601441331,6.41556153053928,5.80869273012851,5.68290430138009,6.21797238798218,6.2436973260006,6.08856041269211,6.08222387251553,4.73798780563007,4.51991263112745,5.58632913667167,5.02620659126567,5.67237639133622,5.57421350000406,8.1502316927949,7.95109388355633,7.84524320897362,6.59385101761844,6.69179564095436,6.87739504266872,5.86028779851651,6.08592487894857,6.14646460893874,6.68747655049065,6.18803347074874,6.65836380711302,6.0695493618099,5.80796094123364,5.86291976799907,5.85955574396627,6.37769122710284,5.57864494804337,8.04490252793564,7.55649207889362,8.15772081736296,6.58165638797058,7.20289697971806,7.10811583799026,7.38291975406169,7.55634271979981,7.27938733283145,5.77410978389148,5.38669668310275,5.59266839708829,5.87702960800395,5.40874503596466,6.51601639003423,6.11888436890969,6.60111677625129,6.92440095660562
"1008","tRNA-Pro-TGG-2","brown",8.94894717964507,9.32775383131757,9.48805114258245,8.96819209795263,8.71167804363207,8.55689322633711,8.45853377175604,8.81075694561689,9.09339337474858,9.15841502597441,9.29469282529032,8.95938237388081,7.18960973015636,7.20376336057363,7.93505011773466,7.8818584515876,8.28706956406724,8.22680965679578,8.48133971714491,8.06927311335823,8.14559953292732,8.68506609193618,8.72485475762421,8.59688716649048,8.4476011729465,8.38310702750044,8.11064535563307,9.64452009490472,9.19637410231186,9.60518625591028,8.23014248479305,8.14164026756559,8.42746843314981,8.68856557781854,9.00172699549028,8.45940952464109,8.49167158003243,8.23770934446575,8.53143836652495,8.26568536070175,8.76048352403533,8.85888765531171,8.9881369426166,9.53246217942051,9.33436624069659,9.11905741514039,8.55388402955238,8.72957960328725,8.14240518595416,7.80659127195266,8.76738180431167,8.39782786729802,8.73865881988774,8.9371180134331
"1009","tRNA-Pro-TGG-3","yellow",11.4953634051192,11.9426733197464,12.2994534310827,10.5071011323611,10.2504306969057,10.1442706495006,9.41643183675533,9.60134796466821,10.3522428032489,10.4142163958768,10.2181710401678,9.85585042591763,7.71072086679189,7.45958543487127,8.47229050607391,8.30949791714246,9.37188738109996,9.08765243681811,11.1594372151822,10.6565096770314,10.821244294138,10.4211411359914,10.3860311341709,10.4979508147361,9.46246293318547,9.53188638552187,9.29392955912303,10.6352836663307,10.0118006233539,10.5062907338602,9.39773147853877,9.10211880420447,10.0000793261868,9.67979849764337,9.96120342482757,9.29938204884473,10.8005351516929,10.7079919002443,10.9301525048448,10.0683551588977,10.377347822979,10.5043199242782,10.3016481309764,11.1414294464956,10.7920276138347,9.8086367374756,8.82329659719982,9.31394512957426,8.77144230154087,8.54835431638032,9.89645288288146,9.47844236094457,9.98451111408063,10.4468990153131
"1010","tRNA-SeC-TCA-1","turquoise",7.33954227535782,7.88346073248887,7.81855107519236,7.61361958407779,7.22057457681595,7.53974459429689,8.68748796751101,8.65352459029511,9.1118377653176,8.79848745676626,8.83232137401401,8.62953311276685,8.36256814444202,8.33992958864006,9.29833590459099,9.54073218116742,9.55598879736308,9.55325477585244,7.01737234131123,7.55540542165418,6.84600150682839,7.32133220758746,7.49391376345709,7.65219356160955,9.11590823396856,9.3839888368261,8.81268086467318,9.68509094639104,9.09921209879884,9.61795664005075,10.273418505719,10.0791175511317,9.48702806313817,9.49402982915052,9.62270457326917,9.73079597293862,6.81841256264959,6.32992142516926,6.79512072175481,7.28318825178477,7.92245788770797,7.73059845299117,8.85261945427544,8.26529744532698,8.43978377225909,8.56806139211043,8.6890203078176,8.89639653555727,9.50325856666896,8.74388074382719,9.56388124658242,10.2840151754501,9.66621225362345,9.67218891207712
"1011","tRNA-SeC-TCA-2","blue",4.73108478945295,4.96627307236902,4.76898182243552,5.56833187286971,5.530932469925,5.99982672857496,5.92678722210645,6.14987674142638,6.27886397526119,6.34637233417454,6.23014194685363,6.48819649473947,7.06791756781023,6.96884359735844,7.95302162897747,8.3239371699583,8.29590625177191,8.11058559383853,4.83309257407273,4.88177370893822,4.8557901511756,5.36605606648337,5.70862125785517,5.72186468618588,6.41405060470062,6.53385240910475,6.49448536653025,6.7595518276761,6.16112328013283,6.84412212510082,7.69766117384823,7.58467238131387,7.1516048182696,8.0510077314599,8.17799335743751,8.03147970457409,4.43555701777654,4.538064894701,4.60932883862858,5.41660857277382,5.4483431692395,5.70076595044965,5.94681592530031,6.12072190383731,6.00334956190143,6.54422926689412,6.39949244850921,6.70640642046345,7.8522037474991,7.08156532745141,7.74146365590993,8.39782786729802,8.43188865970647,8.40397325569454
"1012","tRNA-Ser-ACT-1","yellow",6.99266344736261,7.53745258996384,7.51252834280857,6.81155002790569,6.08176033939762,6.88655623351343,4.85421488538818,4.40160424491358,5.04910277590554,4.94218506969563,5.27316625342204,5.08937748765238,3.87212355806791,3.999188409055,5.08835574845972,4.44751140347268,4.97692684504546,4.92948792868106,6.72564143214167,7.05249180722718,6.61766159801365,6.48702344333889,6.89449761977674,6.65948389885722,5.88425389513493,6.15916412790278,5.93444013451539,5.48522982763606,5.64252883724152,5.7889909720965,5.18412330724013,4.26027355942335,4.17148384761721,3.94985004292568,5.07191133297294,4.93817578842361,6.68714652800896,5.93177076451134,6.67295931623171,5.28840430381578,5.4483431692395,5.56852189089156,4.75447958763344,5.01502390709363,4.39213784068203,3.99722213789475,3.85637728738051,3.57363758161167,4.24138158432811,3.77797055056196,4.44608545906106,4.02593876732697,4.28301481959317,3.41247407199288
"1013","tRNA-Ser-AGA-1","green",6.05883691208914,6.30826145121011,6.7660393332899,5.81959326343565,5.68278692083027,5.37622094067374,5.02613353957895,5.30850419841078,5.37765909647029,5.76301308626518,5.72287104764415,5.4549855537207,5.18971393513633,5.1233113793713,6.05736626615318,6.12321700839775,6.48531219726027,6.13545263316997,5.65313328953006,5.75545367490097,5.38669619234901,5.31634037173638,5.4561474688563,5.32074957004423,5.07133594453931,5.01427082397267,5.32482558495497,6.2929160441557,5.9253420845054,6.28878034311988,6.93295936682139,6.39089432268229,6.36001580953951,6.1334990567222,6.53678827388115,6.5287491470812,5.54771283165128,5.20999078570657,5.66020194371277,4.81218089935215,5.48916947915729,5.32298060524756,5.41017835293866,5.5079747478985,5.37011159784988,5.15679279467939,4.84826774672886,5.0258760300485,6.30322077819059,6.05715537038666,6.43306961098432,6.90806214257536,6.4779971475396,6.4912755452035
"1014","tRNA-Ser-AGA-2","green",8.39290527216296,8.75415588680648,9.18376354288733,8.08938875021862,7.9522873023886,7.69598707153027,7.18285737692767,7.49835341689561,7.51269626801393,8.05629223104048,8.03053460917218,7.75050328761743,7.39629784159987,7.34145826882536,8.41510795491196,8.50907588763091,8.87858466833411,8.47488901745739,7.94767762005286,8.04200134081566,7.66778141625149,7.58178395544066,7.75190459900828,7.52905250643786,7.10366921761385,7.09516378961789,7.51834036896876,8.71792698993397,8.26576387408266,8.71332480509614,9.3846363827054,8.78684226436331,8.7466994933593,8.519301700987,8.9484590842751,8.96292600817873,7.78137878457275,7.33544847979176,7.94725443988244,6.87379223600016,7.74248843322967,7.51186717321136,7.64250730195263,7.81420661984297,7.6167955959503,7.29624106211509,6.98626982103339,7.21747439917556,8.72938806124068,8.43841760117783,8.82526879434822,9.36930560043916,8.82515429127929,8.83250002055312
"1015","tRNA-Ser-AGA-3","green",5.9176732935789,6.25521356214411,6.69258749899553,5.7133873516848,5.5936488454892,5.34169652584086,4.97119801649731,5.2888602332465,5.28457554692429,5.73792682298933,5.75459772797958,5.4549855537207,5.14366702012286,5.1233113793713,6.02355663361514,6.10652217052489,6.4380462970054,6.07627129754663,5.58626058497593,5.64268327585583,5.28505372040316,5.26478795536703,5.42114879747936,5.22465017971585,4.98375803961806,4.93124417408816,5.20219994213933,6.26009547870216,5.89292287090439,6.27032923615356,6.88904372676962,6.39089432268229,6.33267096201535,6.1334990567222,6.50753326388829,6.50071880115778,5.48062519764094,5.08668019563962,5.59905830149579,4.7137115985209,5.46890466719339,5.23785737012628,5.38823925756269,5.5079747478985,5.37011159784988,5.12263109769992,4.81311343733908,5.0258760300485,6.32606669570429,6.03088940398825,6.38972302829093,6.88954840858547,6.38961941599985,6.39626794149795
"1016","tRNA-Ser-AGA-4","green",6.03170130232396,6.48750330614302,6.92409595178313,5.86985572915593,5.73923552183589,5.40991400474372,5.15457521149853,5.32787539750196,5.26030073243592,5.71238817682269,5.65720082494501,5.51228563250274,5.16688183788915,5.16176643742979,6.15423659126543,6.15603201546381,6.46972948325051,6.07627129754663,6.09798054291873,6.11293799471795,5.65373250955794,5.7108100539498,5.70862125785517,5.65026089653137,5.02824515742744,5.42882299455824,5.8561157986437,6.68747655049065,5.9253420845054,6.42840299547941,6.96150842914219,6.46010566766543,6.36001580953951,6.1334990567222,6.50160993588133,6.50071880115778,5.76954898495839,5.26776357600662,5.8292147544895,4.98991575161795,5.52884327044196,5.44166392928389,5.59357952477392,5.57046923154416,5.29308294702513,5.15679279467939,4.84826774672886,5.0258760300485,6.30322077819059,6.05715537038666,6.34502319805318,6.88954840858547,6.38961941599985,6.34629123542851
"1017","tRNA-Ser-CGA-4","tan",5.58467314811288,6.71374577846664,7.10470327481526,6.38272297227777,6.20660575198942,6.31362892488355,5.88364390252126,6.11722521569048,6.65427631876045,6.11377244642434,5.93135931121817,5.81439883339084,4.79960165870377,5.00106067619894,5.08835574845972,5.98384245257165,6.17502317089189,5.79307315534696,5.80766426013836,5.80864086996135,5.73257916790947,6.44195900044301,6.64758092385956,6.24222819667459,5.88425389513493,6.08592487894857,5.97204188135493,6.08363248233753,5.45444259524528,5.70865094696716,6.26607513542776,6.11830909952349,5.93767205483106,5.94334775714684,6.35814280965031,6.03672978582519,5.43405221426845,5.23917723279037,5.71880954667951,5.76722238681002,6.76734769174853,6.33851440303271,6.27757211635613,6.66597223480069,6.55296260358079,5.4589193684396,5.18488444964613,5.26618340028738,5.31206426783648,5.76973763266875,5.58311677082941,6.32638543121125,6.67769202134772,7.11513050646765
"1018","tRNA-Ser-GCT-1","tan",6.18727298821959,6.66044088379381,6.8129999386157,5.44047917744469,5.43128260640685,5.44281589521928,4.75933530464515,5.09832548982373,4.96074217633454,5.11052126395347,5.08412090252172,5.05081779113265,4.88704702524453,5.00106067619894,5.27479807124359,5.51028101599186,5.58763846678022,5.23507643300497,5.86504929257579,6.04826500049065,5.91240584955936,5.46048379604699,5.34841434669086,5.36642522631464,4.84087631217834,4.93124417408816,5.13657316543695,5.74605567122749,5.45444259524528,5.7889909720965,6.33332228292164,5.75357365228653,5.78401376185149,5.46381214342446,5.93343597544734,5.80320786941348,5.80639638804531,5.743127859383,5.79335989040582,4.7137115985209,4.92685243281453,4.86181284149912,5.24883974416718,5.1861064336914,5.03250035310132,4.72395518405945,4.70178289531836,5.0258760300485,5.56577411013171,5.25674337220163,5.92590331826961,6.01980914502862,5.90609249182738,6.00302508599958
"1019","tRNA-Ser-GCT-2","tan",6.39284910436284,7.04001985684494,7.19603572709271,5.91840047500954,6.01498630411542,5.8617155599472,4.85421488538818,5.16478969360245,5.21044227754189,5.07033068724571,5.13385641191514,5.0111455534211,4.88704702524453,4.97958434498931,5.33177320567278,5.51028101599186,5.67237639133622,5.1791318213111,6.12165928191714,6.43264793036684,6.0720189461132,6.04933774308665,5.94741944774339,5.91723165361685,5.11311904529876,4.93124417408816,5.43754333260453,5.74605567122749,5.40899464020649,5.91353848078939,6.33332228292164,5.78102807610801,5.84360067555669,5.5197875304622,5.93343597544734,5.77994479919001,6.14468355422707,6.03400247677076,6.34363268958791,5.07080158764426,5.56742931305858,5.28106898316215,5.41017835293866,5.37397402469503,5.26643176485184,4.89766461078031,4.88253230066337,4.93545611167254,5.56577411013171,5.30188715341042,5.98553954909088,5.9497125507221,5.96865470105537,5.93683099044331
"1020","tRNA-Ser-GCT-3","pink",6.73227707684297,7.11120355356368,7.36296050381493,6.81155002790569,6.61916592942911,6.54108447277095,6.23167545749131,6.5588582319795,6.74321017258514,6.18945562573216,6.33827406613156,6.22507482689439,5.63236822928052,5.59788071547235,6.15423659126543,6.2501821667033,6.70076162091204,6.29956655673398,6.39834051114738,6.2723141330825,6.01030327654612,6.85653007603229,6.52254669151135,6.67747181653143,7.0308550795547,7.0764551073028,7.17796742480463,7.76377593677918,6.75329565545274,7.19569299180014,7.05718966609153,6.76346549220045,6.48941613448459,6.67529768873304,6.8893403298181,6.93674161232635,6.1157124015382,6.00073412868338,6.31873411364351,5.90374326186052,5.97757594622419,6.06116206530311,6.82134537830676,6.7750982890787,6.60629277326452,5.79567742312333,5.54216725109434,5.80839828784379,6.25640426866945,6.26281540323411,6.5557566822893,7.06475965276363,6.78540146686192,6.92440095660562
