,D0,D0,D0,D0,D0,D0,D0,D0,D0,D5,D5,D5,D5,D5,D5,D5,D5,D5,D9,D9,D9,D9,D9,D9,D9,D9,D9,D16,D16,D16,D16,D16,D16,D16,D16,D16,D26,D26,D26,D26,D26,D26,D26,D26,D26,D36,D36,D36,D36,D36,D36,D36,D36,D36,cluster,name
MALAT1,-1.2249467208253093,-1.7760467022339408,-2.007123560838104,-1.4117704679403107,-1.6034592403433694,-1.3914887969937475,-0.503084574921189,-0.7156665006050663,-0.8250614829861402,-0.9723968131466255,-0.4919522352518656,-0.5721830991220359,-0.2686681010792054,-0.392546224056285,-0.35820043760687437,-0.6383835119802722,-0.8283771337263376,-1.0370330561010042,-1.0946851831262316,-0.9204163855145526,-1.1154442732473753,-0.36676530635884225,-0.6194627187164641,-0.38249940623375034,-0.38253554896287356,-0.6119372143698851,-0.5524039620797045,0.3167162060869754,0.1744269829009621,0.5487151679625099,0.12038259767198373,1.0930724667967493,0.21728851776779987,0.8550449586105565,1.0120731396796403,0.1778528984219892,2.047821483553522,2.091295143904179,0.8774339383073714,0.37308719951209846,0.8170299445402149,1.7005137276972986,0.5846753336440775,1.3537610598472138,0.38961170612015733,1.5051373243313095,1.317597060159858,1.3985279847455625,1.2789401149757493,0.5436051488698573,1.188271563051819,0.32319849474185525,0.4828279349990364,0.27563055946716025,2,MALAT1
RP11-54H7.4,2.2006072879909144,2.1905286545471854,2.170676319359504,2.110758504905306,2.02541641274774,2.0885054251640365,2.314192268110198,2.301176607045568,2.2812643885551407,-0.03607371001576392,-0.41691346397476614,-0.24204300457853728,-0.9004222679266876,-0.411769633202401,-0.36265628594126015,-0.4459015903377414,-0.2062251964269349,-0.4581004307113115,-0.9004222679266876,-0.6512152259888926,-0.4302050261256881,-0.3265606318384343,-0.4494036846262019,-0.9004222679266876,-0.4325759895458137,-0.42156069004296315,-0.612522099706699,-0.9004222679266876,-0.9004222679266876,-0.35247380327595645,-0.44980925301860863,-0.6196490732224035,-0.5601870395340601,-0.46529330870594754,-0.2849745150672248,-0.4289856775252976,-0.2369418925164756,-0.2567462382618331,-0.18610648873743293,-0.08653709685827643,-0.4140845912965373,-0.3102144151744624,-0.5179519347787729,-0.13247736321278591,-0.36081038165108253,-0.2994876086251356,-0.4299727186869125,-0.16348578695315102,-0.20767651832143258,-0.35544663463998594,-0.44792180049858793,-0.4792601667247696,-0.9004222679266876,-0.330371290514937,3,RP11-54H7.4
LINC00324,1.0007669361348959,1.3389339605028518,1.7434518122568892,1.0916756103669065,0.5747245632834658,0.931180846292032,0.991249621121187,1.426941705194578,1.5548069512123384,0.8698704334554413,0.9003046481220304,0.6490908591872173,1.5819691452519071,1.7035699704986358,1.8059736991267892,1.0565123359325632,0.38911176104947764,0.3700372490555761,-0.7409922932743724,-0.7733405749762379,-0.692108431308693,-1.189539064840119,-0.7101255436089385,-1.3217340040814736,-0.12853361659617352,0.9449802977507448,1.0594257764378827,-0.7344199793609212,-0.7737327448056784,-0.4556035382392686,-0.1686730892623701,-0.6921829932273579,-0.1816890281270905,-0.36485757276642095,-0.5296342166652487,-0.30843054753826576,-1.957097778665871,-1.7886971791602084,-0.6710535949504672,-1.1865435630383385,-1.4340003465694346,-1.1321569017663111,-0.9486188543532053,-1.093063874844106,-0.028803629275652658,-0.9511381482391542,0.1227353600643338,-0.6690414072743869,-0.7637989342025954,-0.22058072142577695,-0.9997574080501097,0.2946605583208099,0.14285708886673312,1.0651183910088797,4,LINC00324
TPTEP1,2.3703959510518446,1.9886569981013442,1.9446373793827538,2.0546881513083757,2.0345612349969397,2.3209091633370034,2.2125676951957485,2.1329271465993687,2.2595862059692746,-0.5372827726700917,-0.42112982265150517,-1.2712340157763944,-0.4148639629026766,-0.5218343765627111,-0.5926368448617109,-0.6976825895680292,-0.39523928097043565,-0.32791991705376294,-0.538968212392603,-0.6499586523477715,-0.6778753789518905,-0.44090061849952805,-0.31023313018989235,-0.3506713271647859,-0.5162236668691537,-0.4290763732419106,-0.404493420531979,-0.28626951636367276,-0.2659555623944493,-0.5797877540656513,-1.2712340157763944,-0.2490212165144203,-0.8418973318524106,-0.602896982095118,-0.19808599597685478,-1.2712340157763944,-0.11817048004296411,-0.06119127452140316,-0.24126184249888463,-0.6046751996920156,-0.2388588348223136,-0.13021448487728632,-0.2302744458387356,-0.12481709371750584,-0.5903075316082597,-0.4282797801536478,-0.19761476628119015,-0.17539176418861405,-0.06982632789833587,-0.3165916501340704,-0.11108210727583864,0.05065383382759906,-0.11452242941446697,-0.55189699278254,3,TPTEP1
RNU11,-0.979455257153942,-0.444501957173501,-0.08614388812356182,-1.0174307197603154,-0.5225048298996443,-1.147154233037661,-0.9901256268306904,-1.0411983228801134,-0.7933268571676069,1.0768071375046555,0.9087032255836367,0.5772976017603344,0.6247699606764641,0.9182501267267865,0.7925979883901214,0.417559926739742,0.48860014633069454,0.4377340595451339,0.6148046583334115,0.6444422118880065,0.5052725971373297,0.060385260827369704,0.2542597876065143,0.21944774988287985,-0.2999646624838969,-0.12637148511128096,-0.19268198108213153,2.1092825980608803,2.375931565935013,2.1795697877202533,0.2663712510665712,0.028363982633271993,0.46821320341677436,1.3354694350474006,1.3440773594785889,1.837077627424418,-0.1602537425474287,-0.2691744938756914,0.7019709115516003,-1.0486572204506754,-1.1249851128146318,-1.564868474598091,0.37111089957636395,-0.5130429257503519,0.6067331939994981,-0.855865500535084,-0.8167015820801504,-1.045861006153464,-2.055960085659204,-1.4653097112909623,-1.7401958502048882,-0.8112545147083278,-0.6722775584351087,-0.3798366550353127,5,RNU11
PWAR6,2.266975055114162,1.7344342348191115,1.836198089726976,1.897456330572111,1.7113939324162597,1.8437234399726279,1.9375342739442043,1.6629063707477703,1.5649435930833528,-0.09307880202822937,-0.1829813075190916,0.16270459035277945,-0.16854223635879123,-0.05147578911401468,-0.40563283650002924,0.31148104405694105,0.09256487052100897,0.32053053584769065,-0.4190628381929242,-0.7321722215601494,-0.533476793751222,-0.8913369710105928,-1.2896786856100795,-1.6427852955812743,-0.28344497692213433,-1.091386720054793,-0.6103606486944694,-1.020926035941325,-0.39565616428272443,-1.166990548523079,-0.5582666655611199,-0.5438079183182667,-1.2256188426158263,-0.3241925783995491,-0.311706231505458,-0.9964009840581609,0.5004002189135758,0.378564291912235,-0.3300804024235171,-0.1369161704691461,-0.17183825848864276,0.7237302343188379,-0.2517866033487877,0.057980357270467804,-1.076501327832046,0.46946766656243066,0.4552245861761604,0.36082901757324054,0.1654064873748775,-0.09521724110950484,-0.3066864120712162,-0.8044012539019699,0.06816278156310705,-2.4102022410916994,3,PWAR6
SCARNA2,-1.5163018985100498,-1.008848413818028,-0.20848972190565954,-0.37961758413459307,-0.8310728717419213,-0.16780937304588517,-1.236495558819488,-1.1464998375644673,-1.165493623404255,-0.6640991178521004,-0.4717966835090447,-0.2770762074577672,1.279670720697329,0.9980578825725269,0.725441207999013,0.4086115609067909,-2.4122745881138448,-1.9894005890335196,-0.18270546130787382,-0.3115159673612484,-1.0777883701893642,-0.14271024248485467,0.2990331817529781,0.007668010222092352,-1.2861741380496345,-0.12467916887706067,-0.18926705663701787,1.4007648139016229,1.3409297593237264,1.1391166506238395,0.8021570671654823,-0.30401221222468916,1.2433580986348944,1.1109195376383003,0.7414197769592951,2.22017638244933,0.7382009473130896,0.06613290641136164,0.8108366629754516,-0.059802187098054405,-0.008837284811545328,0.7900045878242179,0.33323985231818193,-0.5901315670746543,1.4288324650052702,-0.6089490061649185,-0.9010054503916406,-1.2695408166041082,-0.1456856359267758,-0.43960530814331095,-0.8451252789974076,0.5986693283259454,1.516138529967629,1.963431290266291,5,SCARNA2
RP11-473M20.16,1.641930491034572,2.1599812317290223,2.587848645068121,1.0434600606108526,1.399581264694806,0.8951114202951311,1.5878298249406189,1.2468169946002086,1.5896775077693306,0.8546475560450904,1.341146238167415,0.6078589102943355,0.975282823784657,1.311440402156211,1.138256387524476,0.3155272939554833,0.5912671525923658,-0.08283771413262304,-0.20282416987901813,-0.40985579266605066,-0.11619835147047436,-0.14444680145877276,-0.5368029116777592,-1.039554533455686,0.010996296540769085,-0.10939745807289153,0.20916132871715654,-0.4790621808106298,-0.7370757896078586,-0.4529217000815514,0.4615277515525092,-0.10985809040410945,0.33608176123599676,-0.5298983136266726,-0.6239123373088318,-0.34840232947832595,-1.7892697203118517,-1.1389985641773421,-1.202682356386966,-0.9140219115157914,-1.0017010794032317,-1.0798238545575807,-0.9698515518756751,-1.4154179730021588,-0.8704654443663071,-1.0446300759491183,-0.9963568647964436,-1.0532944332350047,-0.9713320549027236,-0.6310998526237023,-0.8290384577425772,-0.30709974507683674,-0.536658061119857,0.3693591318651828,4,RP11-473M20.16
RP11-267L5.1,2.0291652528861515,1.9193952027738774,2.1026400977902937,2.2527035546634364,2.1627937219319686,2.2993133022823407,2.249946181478183,2.2931468097828707,2.286739152435407,-0.2949666977240419,-0.29101684829871,-0.1536681337352573,-0.6617802440435289,0.07059247188847242,-0.08314466913955043,-0.31355652208305274,-0.37151930435492814,-0.18584245856895656,-0.3774330387413402,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.17648476983570432,-0.6617802440435289,-0.6617802440435289,-0.29463423711529546,-0.22609526983830905,-0.307096605157146,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.2365858102157102,-0.6617802440435289,-0.2721068429819112,-0.6617802440435289,-0.027295505281723503,-0.6617802440435289,-0.6617802440435289,-0.33863529387116276,-0.6617802440435289,-0.3764887510928022,-0.6617802440435289,-0.1990680463379164,-0.6617802440435289,-0.6617802440435289,-0.18131869088867894,-0.27352387909517756,-0.31512518497771685,-0.6617802440435289,-0.6617802440435289,0.1883361803796642,3,RP11-267L5.1
RP4-561L24.3,0.6517195041809224,1.016235704124843,1.3217660564503038,0.44736212301432693,0.5869400008792031,0.27984761663554064,-0.21048373009399368,0.05996175236726642,0.6610562840920123,1.2336991837978526,1.6402695631982074,1.3424099222028876,2.079536438914017,1.8052188974856276,1.4440512220843458,0.5170539130795622,0.57368298986146,0.6004111959155529,-0.2695802974566905,-0.37086897008711817,-0.20244342016263656,-0.08165445255618113,0.4575424409941587,0.22915525748573645,0.2780423222624066,0.6491660677515441,0.4613318389091556,0.3221326782286529,0.2928316571075319,-0.03911498204875723,0.970173588854146,0.28165769416054687,0.8922538797594285,-0.41572849646289767,-0.30027572448796624,0.31838874596082556,-2.2500246747874626,-2.0151101253815358,-1.0908465489840504,-0.6264926642875844,-1.5045073867473244,-1.276042572004683,-1.2960658068784625,-1.1945156369321919,-0.5143850928804881,-1.3536328984904586,-1.2124701816167915,-1.2906527718659833,-1.67699767676119,-1.2165255636390861,-1.048085292822425,0.11174685130046809,-0.7767156664275723,0.7075752428047769,4,RP4-561L24.3
