	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-509-3p	0	1.06296132521514	0.447218891062621	0.703040250694779	1.3668034820078	0.315770959534267	5.04198387948103
hsa-miR-3200-3p	0	1.06296132521514	1.34165667318786	4.21824150416868	1.51867053556423	2.63142466278556	5.97835231424179
hsa-miR-33a-3p	0	1.06296132521514	1.56526611871917	0.820213625810576	1.67053758912065	1.05256986511422	0.792311752489876
hsa-miR-491-3p	0	1.06296132521514	0.223609445531311	0.175760062673695	0.860579970153062	0.105256986511422	0.936368434760762
hsa-miR-374c-3p	0	1.06296132521514	0.223609445531311	0.35152012534739	0	0.42102794604569	0.0360141705677216
hsa-miR-1295a	0	1.06296132521514	0.391316529679794	1.87477400185275	0.253111755927371	0.105256986511422	0.504198387948103
hsa-miR-5002-5p	0	1.06296132521514	0.614925975211104	0	0.151867053556423	1.26308383813707	1.22448179930254
hsa-miR-133a-5p	0	1.06296132521514	0.391316529679794	0.937387000926373	6.12530449344238	0.842055892091379	0.864340093625319
hsa-miR-4422	0	1.06296132521514	0.0559023613828276	0.292933437789491	0	0.105256986511422	0.576226729083546
hsa-miR-4536-5p	0	1.06296132521514	0.559023613828276	1.34749381383166	0.708712916596639	0.736798905579957	0.648255070218989
hsa-miR-3926	0	1.06296132521514	0	0	0	0	0
hsa-miR-200b-5p	0	1.06296132521514	1.11804722765655	1.52325387650536	1.31618113082233	1.36834082464849	1.29651014043798
hsa-miR-7156-5p	0	1.06296132521514	0.726730697976759	0.937387000926373	0.404978809483794	1.36834082464849	0.144056682270886
hsa-miR-2355-5p	0	1.06296132521514	0.894437782125242	0	0	0	0.864340093625319
hsa-miR-943	0	1.06296132521514	0	0	0.101244702370948	0.42102794604569	0
