	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-199b-5p	3547	551.5	3524	4445	6417.5	1178.5	3239
hsa-miR-340-5p	3463	1124	8079	5599	8577	3567	4698
hsa-miR-342-3p	3444	554	3192	6074	3930	2589	3656
hsa-miR-652-3p	2932	633	2536	6852	4723	1733	4072
hsa-miR-185-5p	2892.5	413	2102	2736	2583	1501	3657
hsa-miR-196b-5p	2786	663	1787	3751	3565	1293	1716
hsa-miR-29b-3p	2631.5	811.5	5274	3849	5816	2370.5	2641.5
hsa-miR-363-3p	2546	338	2227	1635	4853	1369	2113
hsa-miR-379-5p	2515	4905	13799	25654	18099	13262	23172
hsa-miR-150-5p	2417	243	3289	3801	3114	1567	1691
hsa-miR-127-3p	2406	1908	7229	11164	7195	5707	17465
hsa-miR-493-5p	2377	3896	11184	22230	10838	13146	25920
hsa-miR-484	2226	236	908	1488	1755	515	1377
hsa-miR-95-3p	2127	653	2044	4455	3690	1103	2749
hsa-miR-532-5p	2114	510	2801	3726	2896	1896	3646
hsa-miR-139-5p	2064	683	1959	5495	3709	2215	4638
hsa-miR-10a-3p	2052	373	1288	1774	1223	663	1218
hsa-miR-106b-3p	2013	153	872	1238.5	1429	565	1052
hsa-miR-338-3p	2008	1871	11563	5663	25572	7882	7064
hsa-miR-365a-3p|hsa-miR-365b-3p	2000	65	491	1781	1871	409	913
hsa-miR-487b-3p	1999	2749	9332	16812	9271	9921	20456
hsa-let-7a-3p	1991	178	1159	1353	1834	702	1068.5
hsa-miR-339-5p	1958	168	2269	1609	2346	926	1954
hsa-miR-9-3p	1860	5786	21999	26456	22562	24061	47586
hsa-let-7b-3p	1826	57	601	1520	1553	664	1023
hsa-miR-7-5p	1742	1127	3096	5631	4473	3088	5997
hsa-miR-382-5p	1661	1725	4558	10517	5608	5776	15539
hsa-miR-615-3p	1646	320	310	1331	709	500	1262
hsa-miR-505-3p	1640	414	1581	2339	2209	1079	2291
hsa-miR-409-3p	1611	1347	3789	9661	5370	4787	11092
hsa-miR-192-5p	1496.5	157.5	1128.5	795	1477.5	417	770.5
hsa-miR-125b-1-3p	1469	287	1094	2118	1756	1005	1933
hsa-miR-320b	1468.58333333333	175.166666666667	528.666666666667	1003.33333333333	1200.66666666667	424.5	1589.41666666667
hsa-miR-20a-5p	1457	214	1675	1519	1348	733	1047.5
hsa-miR-142-5p	1424	215	1765	1304	1647	575	591
hsa-miR-455-3p	1408	1049	5491	4064	6751	3266	4411
hsa-miR-1247-5p	1404	153	477	1164	533	236	919
hsa-miR-181a-2-3p	1386	284	1307	2646	2923	1427	2327
hsa-miR-140-5p	1380	348	1387	2166	2921	613	1252
hsa-miR-151b	1363	274.5	1669.5	2262	1782.5	710.166666666667	1575
hsa-miR-99b-3p	1323	167	756	1277	1137	561	1650
hsa-miR-195-3p	1303	81	404	553	528	143	343
hsa-miR-502-3p	1273.5	381.5	1424	2402.5	2076.5	937	2017
hsa-miR-106b-5p	1242	183	759.333333333333	796	1268	445	671
hsa-miR-411-5p	1240	896	3664	5147	4821	2924	4337
hsa-miR-654-3p	1138	412	1217	1999	1851	1359	3005
hsa-miR-27b-5p	1126	785	2137	3425	3439	2422	4308
hsa-miR-19b-3p	1115	162	1331	780	1128	433.5	614
hsa-miR-500a-3p	1064.5	293.5	971	1938	1498	759	1408.5
hsa-miR-132-3p	1033	218	652	1295	990	418	1185
hsa-miR-421	1028	380	1323	2277	2261	1643	3051
hsa-miR-340-3p	1013	641	1894	3140	4015	2432	3093
hsa-miR-151a-5p	1007	281.5	1306	1978.5	1654	839	1734.5
hsa-miR-29c-3p	978.5	365.5	2151.5	1616.5	2709	755	938.833333333333
hsa-miR-339-3p	974	234	1327	1262	1485	605	935
hsa-miR-497-5p	937	118	445	837	864	159	419
hsa-miR-17-5p	932.5	187	1099.83333333333	1114.5	929	523	1007
hsa-miR-149-5p	894	562	2669	4492	2635	2529	5627
hsa-miR-130a-3p	893	544	1544	1925	2984	1424	1721
hsa-miR-328-3p	884	208	732	1741	933	560	2020
hsa-miR-1301-3p	879	367	990	2709	1604	1407	3461
hsa-miR-660-5p	868	143	945	1318	1187	583	976
hsa-miR-369-3p	864	609	1861	2002	1773	1468	2321
hsa-miR-15a-5p	857	171	940	1165	1477	503	624
hsa-miR-133a-3p	827.5	123	671.5	2691.5	10802.5	785	1365.5
hsa-miR-194-5p	795	148	1172	908	1233	471	687
hsa-miR-320d	770.05	130.283333333333	394.55	635.75	986.6	344.85	964.9
hsa-miR-23b-5p	765	169	777	1391	1288	922	2520
hsa-miR-320c	746.383333333333	111.55	270.216666666667	533.583333333333	606.766666666667	232.3	880.983333333334
hsa-miR-432-5p	743	730	2146	5565	2845	3439	9180
hsa-miR-374a-3p	735	271	1316	1277	1597	562	689
hsa-miR-584-5p	724	222	1088	1200	2257	1062	1695
hsa-miR-511-5p	718	82	231	638	510	244	242
hsa-miR-143-5p	715	77	405	1008	1264	148	420
hsa-miR-134-5p	711	233	771	1427	695	510	2394
hsa-miR-345-5p	703	80	373	660	738	234	573
hsa-miR-664a-3p	702	102	496	898	808	407	765
