	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
trimmed_19101-0023_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805633	693890	575007	1370653	3797786	1715408	718184	191868	135256	110198	132568	162293	280333	982632	416098	301403	226560	73357	118824	102482	35908	37192	28296	32866	30106	26412	51198	248874	17772	8629	6556	8393	12338	11406	12246	5632	5988	4596	5442	5732	9442	9553	23305	143489	126897	70415	22373	61711	44024	214427	177036	198127	10788	43094	39973	31543	7842	33973	201535
trimmed_19101-0024_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611731	537325	471942	1112569	2798989	1333036	585949	159269	119106	90405	108048	137417	265135	865835	369399	265626	218420	65520	101392	94276	29212	32304	24388	30102	26825	24293	52349	259652	17520	7110	5916	7266	10368	9430	11151	4745	4943	3810	4232	4767	9002	8517	19154	118554	98625	59544	18054	53001	33729	160611	150424	159567	9001	42109	36607	26179	6980	28215	191803
trimmed_19101-0025_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008146	965802	994685	888270	1803504	1246493	643794	235218	160003	179098	141053	150458	143928	259934	367201	187068	115277	83613	83366	121972	51210	48100	30767	41181	27301	39727	68146	100897	15532	9896	7897	8814	10019	10744	9773	5966	10053	4563	4276	3986	6445	8058	15614	84075	79653	74533	20964	57944	41585	138067	88153	92807	8735	34912	33112	26734	10717	36168	365437
trimmed_19101-0026_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552168	521919	566443	498718	1030668	725556	353979	137271	93972	104316	78759	86660	81624	154039	198908	99970	63622	49687	50282	77446	34336	29609	22732	29236	15595	22875	37565	58789	9561	6046	4823	5232	6363	6993	5805	3377	5456	2644	2640	2456	3773	4957	11026	56290	51522	42274	11593	32465	25453	85479	65834	66422	5707	26614	21166	16059	5891	22409	258409
trimmed_19101-0027_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549394	544297	614625	526046	1125609	727187	386888	134107	89300	97985	80393	93403	81663	149619	229417	111355	76653	49935	54525	93943	31099	31368	23347	30672	17851	21723	42404	66676	10174	6213	5418	6733	7820	8669	7027	4366	7116	3407	3509	3348	5487	6700	16474	82010	70387	74768	18591	52480	33642	122352	102733	90151	7590	35507	30663	22980	9231	27657	221344
trimmed_19101-0028_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431823	427217	535449	722662	1677754	1097104	685074	176864	129036	123495	111026	113949	144871	298041	363879	152008	120200	85012	88105	134519	33939	36385	20371	48440	13686	17514	26913	37271	6983	4124	3198	3265	4010	3929	3608	2484	2959	2458	2391	2664	4045	5679	13594	64665	57811	59476	15341	30680	29769	87736	85769	62396	7748	33916	31418	21860	8727	26904	204384
trimmed_19101-0029_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066809	960880	978701	1273598	2958820	1852114	1194645	339841	260042	243179	273421	234365	282151	601597	663870	287124	199571	160071	152252	224558	59251	67716	33092	55293	23318	34232	50910	88862	17392	8866	6804	7258	8608	8330	8667	5932	7178	6369	6417	6138	9221	13412	26130	119522	109361	97810	29937	60028	51934	162740	125088	99297	13526	55196	53345	40945	15818	50513	305591
trimmed_19101-0030_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792858	772658	908678	1183402	2851956	1806265	1129298	308834	238431	245535	235436	221644	299457	708154	819549	336030	229475	185121	192401	316062	66876	72674	32231	66550	22716	34590	55639	79315	14370	7959	6061	5885	7471	7190	6887	4726	5570	4657	4706	4678	7424	11278	22671	106899	97733	90861	26213	51172	48128	140452	120272	96136	12086	50101	48191	36297	12779	44745	247513
trimmed_19101-0031_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365651	368823	776531	904619	1934931	1233401	698217	158458	122602	137441	129786	146222	233024	763461	1035953	395199	175565	142495	79832	91290	36547	35175	19830	25723	15344	21074	31623	45764	9744	5269	4096	4438	5436	4977	4792	3529	4103	3246	3819	4587	9275	11247	27510	121186	125200	115914	39616	69531	51261	136684	131164	91215	20983	60827	68096	52565	21396	50146	219020
trimmed_19101-0032_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413087	415949	913639	1005198	2175399	1444046	811632	189292	146199	160302	151343	169436	263754	850516	1044333	410193	189407	158222	90743	99716	44660	43605	25079	32194	18836	23201	33823	50617	10936	5940	4551	5048	5793	5237	4726	3695	4387	3323	3912	4539	9421	12724	31822	134843	146973	133152	39740	70870	64011	178309	223157	132406	22153	77036	83777	63149	25769	68537	406332
trimmed_19101-0033_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440521	419930	720273	860979	1935174	1189165	718091	202968	163188	172133	173034	196597	288039	805389	1130337	504729	270801	236656	132082	152826	70860	59849	34373	36618	24495	33694	49165	84266	15615	8266	5985	6040	6810	5734	5024	3845	4265	3376	3787	4472	8363	10598	23093	105935	98573	88043	28736	51046	43268	130590	160972	93116	15738	64436	62339	46816	20590	46930	254798
trimmed_19101-0034_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427563	375870	496774	1248023	2626621	1298446	1014788	195326	150677	156827	148931	178484	203168	587787	841760	430416	261167	240306	114859	94940	58230	48738	30441	27341	20140	23304	41258	117161	15505	6557	4325	4396	4828	4353	3839	2833	3049	2580	2697	3352	6180	7310	22117	90116	75907	56752	21087	36893	28959	103972	130926	72529	12188	56290	49028	42775	16866	33707	164936
