	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
hsa_piR_020365|gb|DQ597975|Homo_sapiens:11:108979133:108979162:Plus	141	289	150	60	59	57	46	44	26	136	110	117	65	107	91	90	90	123	123	115	195	155	197	136	37	25	57	84	33	117	112	111	167	143	392	70	155	290	231	177	58	75	17	79	82	99	65	34	87	100	91	46	68	141
hsa_piR_017194|gb|DQ593767|Homo_sapiens:18:45272066:45272097:Minus	137	225	147	255	344	271	440	491.5	297	445.5	418	487	282	362	204	236	226	286	186	191	166	226	253	163	95	79	62.5	193	347.5	350	161	207	232	245	871	263	304.5	326.5	327	202	207.5	222	229	319	469	709.5	709.5	378	231	320	150	208	169	183
hsa_piR_017174|gb|DQ593737|Homo_sapiens:2:168406297:168406328:Plus	130	221	142	41	35	41	9	20	15	12	7	5	11	16	20	10	7	21	198	190	108	23	47	33	15	14	8	11	26	17	35	46	20	14	48	19	78	47	66	9	26	23	32	15	32	9	8	4	18	30	7	23	3	7
hsa_piR_000441|gb|DQ570540|Homo_sapiens:2:232033329:232033357:Minus	119	87	43	67	62	93	160	198	143	146	144	175	266	416	232	341	222	290	158	96	163	141	128	124	157	60	104	91	209	180	450	576	417	214	1072	330	275	231	265	147	118	175	198	147	210	176	205	90	210	368	134	314	146	138
hsa_piR_019676|gb|DQ596993|Homo_sapiens:20:2582901:2582931:Plus	109	177	126	127	160	147	163	195	165	306	245	380	796	910	488	698	951	913	156	92	124	138	157	131	95	69	51	108	197	203	489	614	638	1012	3375	713	147	210	203	150	186	263	219	314	390	422	292	104	509	894	600	765	1064	1028
hsa_piR_020813|gb|DQ598646|Homo_sapiens:1:31213600:31213629:Minus	96	163	126.5	323	350	412	443	484.5	420.5	811	662.5	820	2051.5	2399.5	1556	1953	2582	2417	144	121.5	110.5	451	552	502.5	472	344.5	448	335.5	445.5	549	1488	1861.5	1516	1973.5	7022.5	1862	161.5	179	195	639	407.5	512.5	430	553	678.5	932	760	413.5	1618.5	2573.5	1491.5	2335.5	2071	1851.5
hsa_piR_000560|gb|DQ570698|Homo_sapiens:17:24071728:24071758:Plus	96	114	63	83	99	121	174	208	102	125	72	172	253	305	122	214	127	170	176	128	100	174	148	112	155	69	77	81	158	206	192	227	311	166	537	211	271	216	237	177	154	197	313	195	264	176	179	101	171	295	97	212	91	104
hsa_piR_001159|gb|DQ571511|Homo_sapiens:17:16284116:16284145:Plus	91	116	67	69	60	101	45	87	65	61	42	55	114	116	64	147	71	127	85	126	62	89	93	94	292	165	129	171	253	243	329	391	229	148	427	227	140	74	133	65	135	107	327	66	73	55	72	34	106	146	60	195	62	51
hsa_piR_017184|gb|DQ593752|Homo_sapiens:13:44809717:44809744:Minus	88	136	71	78	87	75	183	220	131	147	129	186	219	279	83	74	120	130	99	77	67	44	58	37	31	25	21	48	117	94	62	72	112	185	340	99	124	177	133	52	51	66	150	154	202	289	285	191	75	207	63	55	66	61
hsa_piR_001169|gb|DQ571525|Homo_sapiens:17:21945564:21945589:Plus	67	136	73	45	53.5	30.5	40	58.5	66	84	56	53.5	108	133.5	81	104	124.5	123	44.5	55.5	38	32	47	34.5	77	79.5	35	130.5	116	92	103.5	184.5	196.5	133	377	119.5	89.5	41	60	34	67.5	85	98	46	52.5	72.5	47	19	77.5	146	56	81.5	46	44
hsa_piR_011734|gb|DQ585879|Homo_sapiens:18:11651398:11651425:Minus	64	104	97	82	96	96.5	47	65.5	54.5	31	23.5	17	13	22	15	7	7	8	101	82	90	60	86	60	15	9	11	13	34.5	29	12	11	5	11	22	4	38.5	77	86	41	76	88	43	58	92	42	28	21	5	11	10	4	10	5
hsa_piR_019521|gb|DQ596805|Homo_sapiens:11:10487516:10487542:Minus	62	71	59	76	64	82	156	177	138	208	187	205	223	259	57	104	162	133	70	84	86	42	84	61	99	53	47	75	177	115	139	139	196	159	389	134	114	89	100	70	90	88	139	108	148	270	385	164	184	264	68	84	71	56
hsa_piR_019050|gb|DQ596155|Homo_sapiens:15:64582204:64582231:Minus	55	47	20	50	49	65	112	122	77	188	200	213	378	412	162	201	197	248	84	74	55	154	144	131	128	77	103	138	190	207	157	159	211	198	504	213	89	93	84	164	99	118	291	115	176	224	259	132	186	325	94	132	75	86
hsa_piR_017458|gb|DQ594126|Homo_sapiens:1:31213602:31213628:Minus	55	91	70.5	160	161	209	275	258.5	223.5	463	403.5	510	1437.5	1709.5	1016	1289	1803	1637	66	53.5	60.5	134	157	156.5	150	77.5	88	138.5	210.5	227	798	1014.5	945	1367.5	4947.5	1297	64.5	98	92	188	209.5	289.5	213	325	405.5	575	383	222.5	1007.5	1637.5	1075.5	1504.5	1614	1434.5
hsa_piR_001042|gb|DQ571335|Homo_sapiens:11:93104320:93104349:Minus	51	64	45	80	89	106	124	134	82	118	82	123	190	260	134	122	190	168	73	33	46	118	89	62	57	44	28	43	97	114	161	215	187	211	740	145	54	96	47	57	91	190	143	154	173	134	97	50	100	257	172	134	226	183
hsa_piR_019825|gb|DQ597218|Homo_sapiens:1:227740227:227740256:Plus	46.5	105.5	46	189.5	281	222.5	88.5	122.5	107.5	176.5	121.5	153.5	133.75	158.5	113	156	168.25	158.5	55	64	61.5	261	514.5	377.5	49	25	38.5	54	165.25	142.5	226	270.5	191.75	205.5	445.75	156.5	66.5	98	107	372	422	475.5	70	80.5	111	173.5	264	144.5	145.25	184	73	120.5	90.5	125.5
hsa_piR_019420|gb|DQ596670|Homo_sapiens:2:101255914:101255940:Minus	44	114	72	338	298	269	1428	1527	1334	1630	1495	1628	2484	2681	1944	2330	1908	2016	61	60	38	84	151	93	175	143	81	254	522	525	1596	1486	3041	1298	5221	1818	94	68	103	188	366	371	459	557	875	1126	1430	722	2925	3707	1618	2042	873	877
hsa_piR_009051|gb|DQ582264|Homo_sapiens:11:10487350:10487380:Minus	44	77	43	33	33	28	46	37	27	12	5	13	31	37	13	25	19	25	43	50	30	19	29	22	14	15	9	29	26	36	37	26	36	33	79	39	44	37	59	28	46	39	51	33	36	16	19	4	9	27	9	14	6	7
hsa_piR_000045|gb|DQ569993|Homo_sapiens:10:70184970:70184999:Plus	42	71	33	115	156	201	202	209	150	212	211	312	833	1329	724	824	896	802	67	65	63	190	235	143	185	100	88	210	298	302	632	896	491	990	3348	806	71	82	81	172	170	268	320	336	332	436	391	272	595	874	595	782	849	746
hsa_piR_016975|gb|DQ593415|Homo_sapiens:19:54685976:54686003:Plus	39	72	37	69	52	58	184	231	219	63	60	51	35	61	49	49	60	92	22	36	13	66	92	98	111	78	82	162	157	233	103	106	31	20	349	44	72	38	52	78	121	132	337	115	167	59	105	61	20	65	15	63	13	42
hsa_piR_000801|gb|DQ570999|Homo_sapiens:17:72069314:72069345:Plus	37	49	44	56	56	37	29	32	45	25	23	28	27	42	22	37	49	47	41	51	37	29	41	37	31	14	16	27	37	37	43	38	46	38	144	94	57	30	50	43	88	83	64	28	39	28	32	18	51	103	20	80	24	14
hsa_piR_013306|gb|DQ588040|Homo_sapiens:8:57148983:57149014:Minus	34	60	45	73	75	96	61	110	72	87	48	96	63	109	68	57	60	83	38	67	27	26	56	44	73	41	25	88	133	123	113	117	129	64	231	97	82	50	67	42	69	75	112	66	83	95	127	29	60	104	42	86	30	27
hsa_piR_004152|gb|DQ575658|Homo_sapiens:5:139120743:139120768:Plus	29	58	20	25.5	40	51	45	25	58	28	6	17	12	23	22	19	18	45	13	45	23	37	72	46	41	42	36	61.5	30	50	39	67	46	26	37	13	17	31	76	50	49.5	42	29	26	46	32	35	26	21	29	13	25	14	16
hsa_piR_020326|gb|DQ597916|Homo_sapiens:3:15524502:15524532:Plus	28.5	48	16.5	6.5	13	12.5	15.5	15	10	3	3	2.5	1.5	1.5	0	2.5	1.5	2	17	22	20	14	27	18.5	3.5	0	0.5	3	8.5	7.5	1	3	0.5	3.5	9	4	37.5	45.5	49	8	12	19	30	23	36.5	10.5	10	9.5	1	4	3	1.5	3.5	2.5
hsa_piR_010894|gb|DQ584698|Homo_sapiens:8:68660258:68660288:Minus	26	27	21	17	19	19	31	42	36	36	27	48	170	168	40	96	90	92	18	44	21	22	39	29	92	40	43	118	116	122	91	97	144	133	235	144	43	30	47	16	25	31	114	17	21	30	61	14	54	98	10	45	11	9
hsa_piR_002158|gb|DQ572892|Homo_sapiens:16:70349813:70349841:Minus	22	42	31	82	104	88	157	151	101	268	238	318	1022	1563	1034	1530	1456	1342	16	10	24	74	106	74	102	44	68	126	166	204	780	1062	846	1521	5511	1371	36	58	50	119	163	183	176	191	232	369	407	261	1229	1676	843	1449	1181	1136
